Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %
1,Lightning Lewis,Thunder Thompson,78,23,46,11,8,3,12,11,44.4
1,Thunder Thompson,Lightning Lewis,79,29,45,28,15,13,1,28,55.6
2,Lightning Lewis,Thunder Thompson,44,12,28,10,7,3,2,10,38.1
2,Thunder Thompson,Lightning Lewis,78,29,53,21,13,8,8,21,61.9
3,Lightning Lewis,Thunder Thompson,76,16,36,9,4,5,7,9,46.8
3,Thunder Thompson,Lightning Lewis,69,14,29,13,7,6,1,13,53.2
4,Lightning Lewis,Thunder Thompson,57,18,38,14,5,9,4,14,58.6
4,Thunder Thompson,Lightning Lewis,69,14,36,14,7,7,0,14,41.4
5,Lightning Lewis,Thunder Thompson,75,29,30,17,13,4,12,17,63.5
5,Thunder Thompson,Lightning Lewis,59,29,36,24,17,7,5,24,36.5
6,Lightning Lewis,Thunder Thompson,49,24,24,22,9,13,2,22,38.6
6,Thunder Thompson,Lightning Lewis,68,21,34,11,7,4,10,11,61.4
7,Lightning Lewis,Thunder Thompson,69,29,32,29,22,7,0,29,45.3
7,Thunder Thompson,Lightning Lewis,68,26,33,19,12,7,7,19,54.7
8,Lightning Lewis,Thunder Thompson,67,23,27,12,7,5,11,12,52.4
8,Thunder Thompson,Lightning Lewis,65,24,32,18,14,4,6,18,47.6
9,Lightning Lewis,Thunder Thompson,41,9,23,4,3,1,5,4,40.7
9,Thunder Thompson,Lightning Lewis,63,31,29,23,15,8,8,23,59.3
10,Lightning Lewis,Thunder Thompson,46,18,22,14,7,7,4,14,54.4
10,Thunder Thompson,Lightning Lewis,53,10,21,9,3,6,1,9,45.6
11,Lightning Lewis,Thunder Thompson,64,13,44,13,10,3,0,13,50.5
11,Thunder Thompson,Lightning Lewis,67,31,33,23,18,5,8,23,49.5
12,Lightning Lewis,Thunder Thompson,49,21,23,20,8,12,1,20,58.9
12,Thunder Thompson,Lightning Lewis,72,36,44,33,18,15,3,33,41.1
