Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %


1,Canelo Alvarez,William Scull,13,5,8,4,0,0,1,4,0
1,William Scull,Canelo Alvarez,25,5,6,3,0,0,2,3,0
2,Canelo Alvarez,William Scull,13,5,8,4,0,0,1,4,0
2,William Scull,Canelo Alvarez,25,5,6,3,0,0,2,3,0
3,Canelo Alvarez,William Scull,13,5,8,4,0,0,1,4,0
3,William Scull,Canelo Alvarez,25,5,6,3,0,0,2,3,0
4,Canelo Alvarez,William Scull,13,5,8,4,0,0,1,4,0
4,William Scull,Canelo Alvarez,25,5,6,3,0,0,2,3,0
5,Canelo Alvarez,William Scull,13,5,8,4,0,0,1,4,0
5,William Scull,Canelo Alvarez,25,5,6,2,0,0,3,2,0
6,Canelo Alvarez,William Scull,13,5,7,4,0,0,1,4,0
6,William Scull,Canelo Alvarez,24,5,6,2,0,0,3,2,0
7,Canelo Alvarez,William Scull,13,5,7,4,0,0,1,4,0
7,William Scull,Canelo Alvarez,24,5,6,2,0,0,3,2,0
8,Canelo Alvarez,William Scull,13,5,7,4,0,0,1,4,0
8,William Scull,Canelo Alvarez,24,4,6,2,0,0,2,2,0
9,Canelo Alvarez,William Scull,12,4,7,4,0,0,0,4,0
9,William Scull,Canelo Alvarez,24,4,6,2,0,0,2,2,0
10,Canelo Alvarez,William Scull,12,4,7,4,0,0,0,4,0
10,William Scull,Canelo Alvarez,24,4,6,2,0,0,2,2,0
11,Canelo Alvarez,William Scull,12,4,7,4,0,0,0,4,0
11,William Scull,Canelo Alvarez,24,4,5,2,0,0,2,2,0
12,Canelo Alvarez,William Scull,12,4,7,4,0,0,0,4,0
12,William Scull,Canelo Alvarez,24,4,5,2,0,0,2,2,0
