Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %
1,Gervonta Davis,Hector Luis Garcia,15,3,3,0,0,0,1,0,0
1,Hector Luis Garcia,Gervonta Davis,17,1,1,0,0,0,1,0,0
2,Gervonta Davis,Hector Luis Garcia,24,6,7,3,0,0,3,3,0
2,Hector Luis Garcia,Gervonta Davis,25,7,12,6,0,0,1,6,0
3,Gervonta Davis,Hector Luis Garcia,23,3,6,1,0,0,2,1,0
3,Hector Luis Garcia,Gervonta Davis,39,6,18,5,0,0,1,5,0
4,Gervonta Davis,Hector Luis Garcia,35,18,23,14,0,0,4,14,0
4,Hector Luis Garcia,Gervonta Davis,50,9,36,9,0,0,0,9,0
5,Gervonta Davis,Hector Luis Garcia,32,13,20,8,0,0,5,8,0
5,Hector Luis Garcia,Gervonta Davis,52,9,30,9,0,0,0,9,0
6,Gervonta Davis,Hector Luis Garcia,35,13,22,9,0,0,4,9,0
6,Hector Luis Garcia,Gervonta Davis,54,11,39,11,0,0,0,11,0
7,Gervonta Davis,Hector Luis Garcia,29,13,19,9,0,0,4,9,0
7,Hector Luis Garcia,Gervonta Davis,53,9,20,7,0,0,2,7,0
8,Gervonta Davis,Hector Luis Garcia,46,30,39,29,0,0,1,29,0
8,Hector Luis Garcia,Gervonta Davis,55,3,32,3,0,0,0,3,0
