Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %
1,Gervonta Davis,Lamont Roach,12,1,4,1,0,0,0,1,0
1,Lamont Roach,Gervonta Davis,17,3,3,1,0,0,2,1,0
2,Gervonta Davis,Lamont Roach,12,3,6,2,0,0,1,2,0
2,Lamont Roach,Gervonta Davis,16,4,5,1,0,0,3,1,0
3,Gervonta Davis,Lamont Roach,24,8,19,7,0,0,1,7,0
3,Lamont Roach,Gervonta Davis,30,7,17,5,0,0,2,5,0
4,Gervonta Davis,Lamont Roach,20,5,9,3,0,0,2,3,0
4,Lamont Roach,Gervonta Davis,23,5,14,5,0,0,0,5,0
5,Gervonta Davis,Lamont Roach,17,8,16,8,0,0,0,8,0
5,Lamont Roach,Gervonta Davis,31,7,17,6,0,0,1,6,0
6,Gervonta Davis,Lamont Roach,24,11,19,10,0,0,1,10,0
6,Lamont Roach,Gervonta Davis,27,5,17,4,0,0,1,4,0
7,Gervonta Davis,Lamont Roach,28,12,22,11,0,0,1,11,0
7,Lamont Roach,Gervonta Davis,52,16,41,14,0,0,2,14,0
8,Gervonta Davis,Lamont Roach,20,7,14,7,0,0,0,7,0
8,Lamont Roach,Gervonta Davis,34,9,14,5,0,0,4,5,0
9,Gervonta Davis,Lamont Roach,29,13,28,13,0,0,0,13,0
9,Lamont Roach,Gervonta Davis,45,13,30,12,0,0,1,12,0
10,Gervonta Davis,Lamont Roach,22,9,17,8,0,0,1,8,0
10,Lamont Roach,Gervonta Davis,33,10,24,8,0,0,2,8,0
11,Gervonta Davis,Lamont Roach,42,17,32,15,0,0,2,15,0
11,Lamont Roach,Gervonta Davis,54,17,38,13,0,0,4,13,0
12,Gervonta Davis,Lamont Roach,29,9,24,8,0,0,1,8,0
12,Lamont Roach,Gervonta Davis,38,16,32,13,0,0,3,13,0
