Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %


1,Ryan Garcia,Rolando Romero,19,5,0,0,0,0,5,0,0
1,Rolando Romero,Ryan Garcia,13,2,1,0,0,0,2,0,0
2,Ryan Garcia,Rolando Romero,28,8,11,4,0,0,4,4,0
2,Rolando Romero,Ryan Garcia,37,10,16,6,0,0,4,6,0
3,Ryan Garcia,Rolando Romero,16,3,4,1,0,0,2,1,0
3,Rolando Romero,Ryan Garcia,19,2,2,1,0,0,1,1,0
4,Ryan Garcia,Rolando Romero,16,5,2,0,0,0,5,0,0
4,Rolando Romero,Ryan Garcia,15,4,0,0,0,0,4,0,0
5,Ryan Garcia,Rolando Romero,20,7,10,5,0,0,2,5,0
5,Rolando Romero,Ryan Garcia,14,1,4,0,0,0,1,0,0
6,Ryan Garcia,Rolando Romero,14,5,4,2,0,0,3,2,0
6,Rolando Romero,Ryan Garcia,22,8,7,2,0,0,6,2,0
7,Ryan Garcia,Rolando Romero,25,9,5,2,0,0,7,2,0
7,Rolando Romero,Ryan Garcia,16,2,3,0,0,0,2,0,0
8,Ryan Garcia,Rolando Romero,16,7,3,1,0,0,6,1,0
8,Rolando Romero,Ryan Garcia,21,1,3,1,0,0,0,1,0
9,Ryan Garcia,Rolando Romero,18,6,1,1,0,0,5,1,0
9,Rolando Romero,Ryan Garcia,27,5,6,2,0,0,3,2,0
10,Ryan Garcia,Rolando Romero,16,5,5,1,0,0,4,1,0
10,Rolando Romero,Ryan Garcia,34,6,13,2,0,0,4,2,0
11,Ryan Garcia,Rolando Romero,13,2,1,0,0,0,2,0,0
11,Rolando Romero,Ryan Garcia,29,7,6,3,0,0,4,3,0
12,Ryan Garcia,Rolando Romero,9,4,2,1,0,0,3,1,0
12,Rolando Romero,Ryan Garcia,33,9,4,1,0,0,8,1,0
