Round,Boxer,Opponent,Punches Thrown,Punches Landed,Significant Punches Thrown,Significant Punches Landed,Head Punches Landed,Body Punches Landed,Jabs Landed,Power Punches Landed,Ring Control %


1,Teofimo Lopez,Arnold Barboza Jr,41,8,11,2,0,0,6,2,0
1,Arnold Barboza Jr,Teofimo Lopez,31,6,12,2,0,0,4,2,0
2,Teofimo Lopez,Arnold Barboza Jr,43,7,18,4,0,0,3,4,0
2,Arnold Barboza Jr,Teofimo Lopez,31,6,13,3,0,0,3,3,0
3,Teofimo Lopez,Arnold Barboza Jr,45,8,16,6,0,0,2,6,0
3,Arnold Barboza Jr,Teofimo Lopez,37,8,20,3,0,0,5,3,0
4,Teofimo Lopez,Arnold Barboza Jr,51,12,18,6,0,0,6,6,0
4,Arnold Barboza Jr,Teofimo Lopez,36,7,16,3,0,0,4,3,0
5,Teofimo Lopez,Arnold Barboza Jr,54,16,25,9,0,0,7,9,0
5,Arnold Barboza Jr,Teofimo Lopez,36,7,19,5,0,0,2,5,0
6,Teofimo Lopez,Arnold Barboza Jr,42,9,13,5,0,0,4,5,0
6,Arnold Barboza Jr,Teofimo Lopez,40,8,14,2,0,0,6,2,0
7,Teofimo Lopez,Arnold Barboza Jr,41,12,13,8,0,0,4,8,0
7,Arnold Barboza Jr,Teofimo Lopez,37,2,17,2,0,0,0,2,0
8,Teofimo Lopez,Arnold Barboza Jr,41,11,13,5,0,0,6,5,0
8,Arnold Barboza Jr,Teofimo Lopez,36,4,13,1,0,0,3,1,0
9,Teofimo Lopez,Arnold Barboza Jr,53,12,13,4,0,0,8,4,0
9,Arnold Barboza Jr,Teofimo Lopez,28,1,10,0,0,0,1,0,0
10,Teofimo Lopez,Arnold Barboza Jr,53,9,18,5,0,0,4,5,0
10,Arnold Barboza Jr,Teofimo Lopez,31,7,11,5,0,0,2,5,0
11,Teofimo Lopez,Arnold Barboza Jr,53,10,19,8,0,0,2,8,0
11,Arnold Barboza Jr,Teofimo Lopez,43,8,20,2,0,0,6,2,0
12,Teofimo Lopez,Arnold Barboza Jr,57,13,21,11,0,0,2,11,0
12,Arnold Barboza Jr,Teofimo Lopez,40,7,23,5,0,0,2,5,0
